blockNumber,bits,bitsDecimal
80780,0x1b4766ed,457664237
80781,0x1b4766ed,457664237
80782,0x1b4766ed,457664237
80783,0x1b4766ed,457664237
80784,0x1b4766ed,457664237
80785,0x1b4766ed,457664237
80786,0x1b4766ed,457664237
80787,0x1b4766ed,457664237
80788,0x1b4766ed,457664237
80789,0x1b4766ed,457664237
80790,0x1b4766ed,457664237
80791,0x1b4766ed,457664237
80792,0x1b4766ed,457664237
80793,0x1b4766ed,457664237
80794,0x1b4766ed,457664237
80795,0x1b4766ed,457664237
80796,0x1b4766ed,457664237
80797,0x1b4766ed,457664237
80798,0x1b4766ed,457664237
80799,0x1b4766ed,457664237
80800,0x1b4766ed,457664237
80801,0x1b4766ed,457664237
80802,0x1b4766ed,457664237
80803,0x1b4766ed,457664237
80804,0x1b4766ed,457664237
80805,0x1b4766ed,457664237
80806,0x1b4766ed,457664237
80807,0x1b4766ed,457664237
80808,0x1b4766ed,457664237
80809,0x1b4766ed,457664237
80810,0x1b4766ed,457664237
80811,0x1b4766ed,457664237
80812,0x1b4766ed,457664237
80813,0x1b4766ed,457664237
80814,0x1b4766ed,457664237
80815,0x1b4766ed,457664237
80816,0x1b4766ed,457664237
80817,0x1b4766ed,457664237
80818,0x1b4766ed,457664237
80819,0x1b4766ed,457664237
80820,0x1b4766ed,457664237
80821,0x1b4766ed,457664237
80822,0x1b4766ed,457664237
80823,0x1b4766ed,457664237
80824,0x1b4766ed,457664237
80825,0x1b4766ed,457664237
80826,0x1b4766ed,457664237
80827,0x1b4766ed,457664237
80828,0x1b4766ed,457664237
80829,0x1b4766ed,457664237
80830,0x1b4766ed,457664237
80831,0x1b4766ed,457664237
80832,0x1b4766ed,457664237
80833,0x1b4766ed,457664237
80834,0x1b4766ed,457664237
80835,0x1b4766ed,457664237
80836,0x1b4766ed,457664237
80837,0x1b4766ed,457664237
80838,0x1b4766ed,457664237
80839,0x1b4766ed,457664237
80840,0x1b4766ed,457664237
80841,0x1b4766ed,457664237
80842,0x1b4766ed,457664237
80843,0x1b4766ed,457664237
80844,0x1b4766ed,457664237
80845,0x1b4766ed,457664237
80846,0x1b4766ed,457664237
80847,0x1b4766ed,457664237
80848,0x1b4766ed,457664237
80849,0x1b4766ed,457664237
80850,0x1b4766ed,457664237
80851,0x1b4766ed,457664237
80852,0x1b4766ed,457664237
80853,0x1b4766ed,457664237
80854,0x1b4766ed,457664237
80855,0x1b4766ed,457664237
80856,0x1b4766ed,457664237
80857,0x1b4766ed,457664237
80858,0x1b4766ed,457664237
80859,0x1b4766ed,457664237
80860,0x1b4766ed,457664237
80861,0x1b4766ed,457664237
80862,0x1b4766ed,457664237
80863,0x1b4766ed,457664237
80864,0x1b4766ed,457664237
80865,0x1b4766ed,457664237
80866,0x1b4766ed,457664237
80867,0x1b4766ed,457664237
80868,0x1b4766ed,457664237
80869,0x1b4766ed,457664237
80870,0x1b4766ed,457664237
80871,0x1b4766ed,457664237
80872,0x1b4766ed,457664237
80873,0x1b4766ed,457664237
80874,0x1b4766ed,457664237
80875,0x1b4766ed,457664237
80876,0x1b4766ed,457664237
80877,0x1b4766ed,457664237
80878,0x1b4766ed,457664237
80879,0x1b4766ed,457664237
80880,0x1b4766ed,457664237
80881,0x1b4766ed,457664237
80882,0x1b4766ed,457664237
80883,0x1b4766ed,457664237
80884,0x1b4766ed,457664237
80885,0x1b4766ed,457664237
80886,0x1b4766ed,457664237
80887,0x1b4766ed,457664237
80888,0x1b4766ed,457664237
80889,0x1b4766ed,457664237
80890,0x1b4766ed,457664237
80891,0x1b4766ed,457664237
80892,0x1b4766ed,457664237
80893,0x1b4766ed,457664237
80894,0x1b4766ed,457664237
80895,0x1b4766ed,457664237
80896,0x1b4766ed,457664237
80897,0x1b4766ed,457664237
80898,0x1b4766ed,457664237
80899,0x1b4766ed,457664237
80900,0x1b4766ed,457664237
80901,0x1b4766ed,457664237
80902,0x1b4766ed,457664237
80903,0x1b4766ed,457664237
80904,0x1b4766ed,457664237
80905,0x1b4766ed,457664237
80906,0x1b4766ed,457664237
80907,0x1b4766ed,457664237
80908,0x1b4766ed,457664237
80909,0x1b4766ed,457664237
80910,0x1b4766ed,457664237
80911,0x1b4766ed,457664237
80912,0x1b4766ed,457664237
80913,0x1b4766ed,457664237
80914,0x1b4766ed,457664237
80915,0x1b4766ed,457664237
80916,0x1b4766ed,457664237
80917,0x1b4766ed,457664237
80918,0x1b4766ed,457664237
80919,0x1b4766ed,457664237
80920,0x1b4766ed,457664237
80921,0x1b4766ed,457664237
80922,0x1b4766ed,457664237
80923,0x1b4766ed,457664237
80924,0x1b4766ed,457664237
80925,0x1b4766ed,457664237
80926,0x1b4766ed,457664237
80927,0x1b4766ed,457664237
80928,0x1b4766ed,457664237
80929,0x1b4766ed,457664237
80930,0x1b4766ed,457664237
80931,0x1b4766ed,457664237
80932,0x1b4766ed,457664237
80933,0x1b4766ed,457664237
80934,0x1b4766ed,457664237
80935,0x1b4766ed,457664237
80936,0x1b4766ed,457664237
80937,0x1b4766ed,457664237
80938,0x1b4766ed,457664237
80939,0x1b4766ed,457664237
80940,0x1b4766ed,457664237
80941,0x1b4766ed,457664237
80942,0x1b4766ed,457664237
80943,0x1b4766ed,457664237
80944,0x1b4766ed,457664237
80945,0x1b4766ed,457664237
80946,0x1b4766ed,457664237
80947,0x1b4766ed,457664237
80948,0x1b4766ed,457664237
80949,0x1b4766ed,457664237
80950,0x1b4766ed,457664237
80951,0x1b4766ed,457664237
80952,0x1b4766ed,457664237
80953,0x1b4766ed,457664237
80954,0x1b4766ed,457664237
80955,0x1b4766ed,457664237
80956,0x1b4766ed,457664237
80957,0x1b4766ed,457664237
80958,0x1b4766ed,457664237
80959,0x1b4766ed,457664237
80960,0x1b4766ed,457664237
80961,0x1b4766ed,457664237
80962,0x1b4766ed,457664237
80963,0x1b4766ed,457664237
80964,0x1b4766ed,457664237
80965,0x1b4766ed,457664237
80966,0x1b4766ed,457664237
80967,0x1b4766ed,457664237
80968,0x1b4766ed,457664237
80969,0x1b4766ed,457664237
80970,0x1b4766ed,457664237
80971,0x1b4766ed,457664237
80972,0x1b4766ed,457664237
80973,0x1b4766ed,457664237
80974,0x1b4766ed,457664237
80975,0x1b4766ed,457664237
80976,0x1b4766ed,457664237
80977,0x1b4766ed,457664237
80978,0x1b4766ed,457664237
80979,0x1b4766ed,457664237
80980,0x1b4766ed,457664237
80981,0x1b4766ed,457664237
80982,0x1b4766ed,457664237
80983,0x1b4766ed,457664237
80984,0x1b4766ed,457664237
80985,0x1b4766ed,457664237
80986,0x1b4766ed,457664237
80987,0x1b4766ed,457664237
80988,0x1b4766ed,457664237
80989,0x1b4766ed,457664237
80990,0x1b4766ed,457664237
80991,0x1b4766ed,457664237
80992,0x1b4766ed,457664237
80993,0x1b4766ed,457664237
80994,0x1b4766ed,457664237
80995,0x1b4766ed,457664237
80996,0x1b4766ed,457664237
80997,0x1b4766ed,457664237
80998,0x1b4766ed,457664237
80999,0x1b4766ed,457664237
81000,0x1b4766ed,457664237
81001,0x1b4766ed,457664237
81002,0x1b4766ed,457664237
81003,0x1b4766ed,457664237
81004,0x1b4766ed,457664237
81005,0x1b4766ed,457664237
81006,0x1b4766ed,457664237
81007,0x1b4766ed,457664237
81008,0x1b4766ed,457664237
81009,0x1b4766ed,457664237
81010,0x1b4766ed,457664237
81011,0x1b4766ed,457664237
81012,0x1b4766ed,457664237
81013,0x1b4766ed,457664237
81014,0x1b4766ed,457664237
81015,0x1b4766ed,457664237
81016,0x1b4766ed,457664237
81017,0x1b4766ed,457664237
81018,0x1b4766ed,457664237
81019,0x1b4766ed,457664237
81020,0x1b4766ed,457664237
81021,0x1b4766ed,457664237
81022,0x1b4766ed,457664237
81023,0x1b4766ed,457664237
81024,0x1b4766ed,457664237
81025,0x1b4766ed,457664237
81026,0x1b4766ed,457664237
81027,0x1b4766ed,457664237
81028,0x1b4766ed,457664237
81029,0x1b4766ed,457664237
81030,0x1b4766ed,457664237
81031,0x1b4766ed,457664237
81032,0x1b4766ed,457664237
81033,0x1b4766ed,457664237
81034,0x1b4766ed,457664237
81035,0x1b4766ed,457664237
81036,0x1b4766ed,457664237
81037,0x1b4766ed,457664237
81038,0x1b4766ed,457664237
81039,0x1b4766ed,457664237
81040,0x1b4766ed,457664237
81041,0x1b4766ed,457664237
81042,0x1b4766ed,457664237
81043,0x1b4766ed,457664237
81044,0x1b4766ed,457664237
81045,0x1b4766ed,457664237
81046,0x1b4766ed,457664237
81047,0x1b4766ed,457664237
81048,0x1b4766ed,457664237
81049,0x1b4766ed,457664237
81050,0x1b4766ed,457664237
81051,0x1b4766ed,457664237
81052,0x1b4766ed,457664237
81053,0x1b4766ed,457664237
81054,0x1b4766ed,457664237
81055,0x1b4766ed,457664237
81056,0x1b4766ed,457664237
81057,0x1b4766ed,457664237
81058,0x1b4766ed,457664237
81059,0x1b4766ed,457664237
81060,0x1b4766ed,457664237
81061,0x1b4766ed,457664237
81062,0x1b4766ed,457664237
81063,0x1b4766ed,457664237
81064,0x1b4766ed,457664237
81065,0x1b4766ed,457664237
81066,0x1b4766ed,457664237
81067,0x1b4766ed,457664237
81068,0x1b4766ed,457664237
81069,0x1b4766ed,457664237
81070,0x1b4766ed,457664237
81071,0x1b4766ed,457664237
81072,0x1b4766ed,457664237
81073,0x1b4766ed,457664237
81074,0x1b4766ed,457664237
81075,0x1b4766ed,457664237
81076,0x1b4766ed,457664237
81077,0x1b4766ed,457664237
81078,0x1b4766ed,457664237
81079,0x1b4766ed,457664237
81080,0x1b4766ed,457664237
81081,0x1b4766ed,457664237
81082,0x1b4766ed,457664237
81083,0x1b4766ed,457664237
81084,0x1b4766ed,457664237
81085,0x1b4766ed,457664237
81086,0x1b4766ed,457664237
81087,0x1b4766ed,457664237
81088,0x1b4766ed,457664237
81089,0x1b4766ed,457664237
81090,0x1b4766ed,457664237
81091,0x1b4766ed,457664237
81092,0x1b4766ed,457664237
81093,0x1b4766ed,457664237
81094,0x1b4766ed,457664237
81095,0x1b4766ed,457664237
81096,0x1b4766ed,457664237
81097,0x1b4766ed,457664237
81098,0x1b4766ed,457664237
81099,0x1b4766ed,457664237
81100,0x1b4766ed,457664237
81101,0x1b4766ed,457664237
81102,0x1b4766ed,457664237
81103,0x1b4766ed,457664237
81104,0x1b4766ed,457664237
81105,0x1b4766ed,457664237
81106,0x1b4766ed,457664237
81107,0x1b4766ed,457664237
81108,0x1b4766ed,457664237
81109,0x1b4766ed,457664237
81110,0x1b4766ed,457664237
81111,0x1b4766ed,457664237
81112,0x1b4766ed,457664237
81113,0x1b4766ed,457664237
81114,0x1b4766ed,457664237
81115,0x1b4766ed,457664237
81116,0x1b4766ed,457664237
81117,0x1b4766ed,457664237
81118,0x1b4766ed,457664237
81119,0x1b4766ed,457664237
81120,0x1b4766ed,457664237
81121,0x1b4766ed,457664237
81122,0x1b4766ed,457664237
81123,0x1b4766ed,457664237
81124,0x1b4766ed,457664237
81125,0x1b4766ed,457664237
81126,0x1b4766ed,457664237
81127,0x1b4766ed,457664237
81128,0x1b4766ed,457664237
81129,0x1b4766ed,457664237
81130,0x1b4766ed,457664237
81131,0x1b4766ed,457664237
81132,0x1b4766ed,457664237
81133,0x1b4766ed,457664237
81134,0x1b4766ed,457664237
81135,0x1b4766ed,457664237
81136,0x1b4766ed,457664237
81137,0x1b4766ed,457664237
81138,0x1b4766ed,457664237
81139,0x1b4766ed,457664237
81140,0x1b4766ed,457664237
81141,0x1b4766ed,457664237
81142,0x1b4766ed,457664237
81143,0x1b4766ed,457664237
81144,0x1b4766ed,457664237
81145,0x1b4766ed,457664237
81146,0x1b4766ed,457664237
81147,0x1b4766ed,457664237
81148,0x1b4766ed,457664237
81149,0x1b4766ed,457664237
81150,0x1b4766ed,457664237
81151,0x1b4766ed,457664237
81152,0x1b4766ed,457664237
81153,0x1b4766ed,457664237
81154,0x1b4766ed,457664237
81155,0x1b4766ed,457664237
81156,0x1b4766ed,457664237
81157,0x1b4766ed,457664237
81158,0x1b4766ed,457664237
81159,0x1b4766ed,457664237
81160,0x1b4766ed,457664237
81161,0x1b4766ed,457664237
81162,0x1b4766ed,457664237
81163,0x1b4766ed,457664237
81164,0x1b4766ed,457664237
81165,0x1b4766ed,457664237
81166,0x1b4766ed,457664237
81167,0x1b4766ed,457664237
81168,0x1b4766ed,457664237
81169,0x1b4766ed,457664237
81170,0x1b4766ed,457664237
81171,0x1b4766ed,457664237
81172,0x1b4766ed,457664237
81173,0x1b4766ed,457664237
81174,0x1b4766ed,457664237
81175,0x1b4766ed,457664237
81176,0x1b4766ed,457664237
81177,0x1b4766ed,457664237
81178,0x1b4766ed,457664237
81179,0x1b4766ed,457664237
81180,0x1b4766ed,457664237
81181,0x1b4766ed,457664237
81182,0x1b4766ed,457664237
81183,0x1b4766ed,457664237
81184,0x1b4766ed,457664237
81185,0x1b4766ed,457664237
81186,0x1b4766ed,457664237
81187,0x1b4766ed,457664237
81188,0x1b4766ed,457664237
81189,0x1b4766ed,457664237
81190,0x1b4766ed,457664237
81191,0x1b4766ed,457664237
81192,0x1b4766ed,457664237
81193,0x1b4766ed,457664237
81194,0x1b4766ed,457664237
81195,0x1b4766ed,457664237
81196,0x1b4766ed,457664237
81197,0x1b4766ed,457664237
81198,0x1b4766ed,457664237
81199,0x1b4766ed,457664237
81200,0x1b4766ed,457664237
81201,0x1b4766ed,457664237
81202,0x1b4766ed,457664237
81203,0x1b4766ed,457664237
81204,0x1b4766ed,457664237
81205,0x1b4766ed,457664237
81206,0x1b4766ed,457664237
81207,0x1b4766ed,457664237
81208,0x1b4766ed,457664237
81209,0x1b4766ed,457664237
81210,0x1b4766ed,457664237
81211,0x1b4766ed,457664237
81212,0x1b4766ed,457664237
81213,0x1b4766ed,457664237
81214,0x1b4766ed,457664237
81215,0x1b4766ed,457664237
81216,0x1b4766ed,457664237
81217,0x1b4766ed,457664237
81218,0x1b4766ed,457664237
81219,0x1b4766ed,457664237
81220,0x1b4766ed,457664237
81221,0x1b4766ed,457664237
81222,0x1b4766ed,457664237
81223,0x1b4766ed,457664237
81224,0x1b4766ed,457664237
81225,0x1b4766ed,457664237
81226,0x1b4766ed,457664237
81227,0x1b4766ed,457664237
81228,0x1b4766ed,457664237
81229,0x1b4766ed,457664237
81230,0x1b4766ed,457664237
81231,0x1b4766ed,457664237
81232,0x1b4766ed,457664237
81233,0x1b4766ed,457664237
81234,0x1b4766ed,457664237
81235,0x1b4766ed,457664237
81236,0x1b4766ed,457664237
81237,0x1b4766ed,457664237
81238,0x1b4766ed,457664237
81239,0x1b4766ed,457664237
81240,0x1b4766ed,457664237
81241,0x1b4766ed,457664237
81242,0x1b4766ed,457664237
81243,0x1b4766ed,457664237
81244,0x1b4766ed,457664237
81245,0x1b4766ed,457664237
81246,0x1b4766ed,457664237
81247,0x1b4766ed,457664237
81248,0x1b4766ed,457664237
81249,0x1b4766ed,457664237
81250,0x1b4766ed,457664237
81251,0x1b4766ed,457664237
81252,0x1b4766ed,457664237
81253,0x1b4766ed,457664237
81254,0x1b4766ed,457664237
81255,0x1b4766ed,457664237
81256,0x1b4766ed,457664237
81257,0x1b4766ed,457664237
81258,0x1b4766ed,457664237
81259,0x1b4766ed,457664237
81260,0x1b4766ed,457664237
81261,0x1b4766ed,457664237
81262,0x1b4766ed,457664237
81263,0x1b4766ed,457664237
81264,0x1b4766ed,457664237
81265,0x1b4766ed,457664237
81266,0x1b4766ed,457664237
81267,0x1b4766ed,457664237
81268,0x1b4766ed,457664237
81269,0x1b4766ed,457664237
81270,0x1b4766ed,457664237
81271,0x1b4766ed,457664237
81272,0x1b4766ed,457664237
81273,0x1b4766ed,457664237
81274,0x1b4766ed,457664237
81275,0x1b4766ed,457664237
81276,0x1b4766ed,457664237
81277,0x1b4766ed,457664237
81278,0x1b4766ed,457664237
81279,0x1b4766ed,457664237
81280,0x1b4766ed,457664237
81281,0x1b4766ed,457664237
81282,0x1b4766ed,457664237
81283,0x1b4766ed,457664237
81284,0x1b4766ed,457664237
81285,0x1b4766ed,457664237
81286,0x1b4766ed,457664237
81287,0x1b4766ed,457664237
81288,0x1b4766ed,457664237
81289,0x1b4766ed,457664237
81290,0x1b4766ed,457664237
81291,0x1b4766ed,457664237
81292,0x1b4766ed,457664237
81293,0x1b4766ed,457664237
81294,0x1b4766ed,457664237
81295,0x1b4766ed,457664237
81296,0x1b4766ed,457664237
81297,0x1b4766ed,457664237
81298,0x1b4766ed,457664237
81299,0x1b4766ed,457664237
81300,0x1b4766ed,457664237
81301,0x1b4766ed,457664237
81302,0x1b4766ed,457664237
81303,0x1b4766ed,457664237
81304,0x1b4766ed,457664237
81305,0x1b4766ed,457664237
81306,0x1b4766ed,457664237
81307,0x1b4766ed,457664237
81308,0x1b4766ed,457664237
81309,0x1b4766ed,457664237
81310,0x1b4766ed,457664237
81311,0x1b4766ed,457664237
81312,0x1b4766ed,457664237
81313,0x1b4766ed,457664237
81314,0x1b4766ed,457664237
81315,0x1b4766ed,457664237
81316,0x1b4766ed,457664237
81317,0x1b4766ed,457664237
81318,0x1b4766ed,457664237
81319,0x1b4766ed,457664237
81320,0x1b4766ed,457664237
81321,0x1b4766ed,457664237
81322,0x1b4766ed,457664237
81323,0x1b4766ed,457664237
81324,0x1b4766ed,457664237
81325,0x1b4766ed,457664237
81326,0x1b4766ed,457664237
81327,0x1b4766ed,457664237
81328,0x1b4766ed,457664237
81329,0x1b4766ed,457664237
81330,0x1b4766ed,457664237
81331,0x1b4766ed,457664237
81332,0x1b4766ed,457664237
81333,0x1b4766ed,457664237
81334,0x1b4766ed,457664237
81335,0x1b4766ed,457664237
81336,0x1b4766ed,457664237
81337,0x1b4766ed,457664237
81338,0x1b4766ed,457664237
81339,0x1b4766ed,457664237
81340,0x1b4766ed,457664237
81341,0x1b4766ed,457664237
81342,0x1b4766ed,457664237
81343,0x1b4766ed,457664237
81344,0x1b4766ed,457664237
81345,0x1b4766ed,457664237
81346,0x1b4766ed,457664237
81347,0x1b4766ed,457664237
81348,0x1b4766ed,457664237
81349,0x1b4766ed,457664237
81350,0x1b4766ed,457664237
81351,0x1b4766ed,457664237
81352,0x1b4766ed,457664237
81353,0x1b4766ed,457664237
81354,0x1b4766ed,457664237
81355,0x1b4766ed,457664237
81356,0x1b4766ed,457664237
81357,0x1b4766ed,457664237
81358,0x1b4766ed,457664237
81359,0x1b4766ed,457664237
81360,0x1b4766ed,457664237
81361,0x1b4766ed,457664237
81362,0x1b4766ed,457664237
81363,0x1b4766ed,457664237
81364,0x1b4766ed,457664237
81365,0x1b4766ed,457664237
81366,0x1b4766ed,457664237
81367,0x1b4766ed,457664237
81368,0x1b4766ed,457664237
81369,0x1b4766ed,457664237
81370,0x1b4766ed,457664237
81371,0x1b4766ed,457664237
81372,0x1b4766ed,457664237
81373,0x1b4766ed,457664237
81374,0x1b4766ed,457664237
81375,0x1b4766ed,457664237
81376,0x1b4766ed,457664237
81377,0x1b4766ed,457664237
81378,0x1b4766ed,457664237
81379,0x1b4766ed,457664237
81380,0x1b4766ed,457664237
81381,0x1b4766ed,457664237
81382,0x1b4766ed,457664237
81383,0x1b4766ed,457664237
81384,0x1b4766ed,457664237
81385,0x1b4766ed,457664237
81386,0x1b4766ed,457664237
81387,0x1b4766ed,457664237
81388,0x1b4766ed,457664237
81389,0x1b4766ed,457664237
81390,0x1b4766ed,457664237
81391,0x1b4766ed,457664237
81392,0x1b4766ed,457664237
81393,0x1b4766ed,457664237
81394,0x1b4766ed,457664237
81395,0x1b4766ed,457664237
81396,0x1b4766ed,457664237
81397,0x1b4766ed,457664237
81398,0x1b4766ed,457664237
81399,0x1b4766ed,457664237
81400,0x1b4766ed,457664237
81401,0x1b4766ed,457664237
81402,0x1b4766ed,457664237
81403,0x1b4766ed,457664237
81404,0x1b4766ed,457664237
81405,0x1b4766ed,457664237
81406,0x1b4766ed,457664237
81407,0x1b4766ed,457664237
81408,0x1b4766ed,457664237
81409,0x1b4766ed,457664237
81410,0x1b4766ed,457664237
81411,0x1b4766ed,457664237
81412,0x1b4766ed,457664237
81413,0x1b4766ed,457664237
81414,0x1b4766ed,457664237
81415,0x1b4766ed,457664237
81416,0x1b4766ed,457664237
81417,0x1b4766ed,457664237
81418,0x1b4766ed,457664237
81419,0x1b4766ed,457664237
81420,0x1b4766ed,457664237
81421,0x1b4766ed,457664237
81422,0x1b4766ed,457664237
81423,0x1b4766ed,457664237
81424,0x1b4766ed,457664237
81425,0x1b4766ed,457664237
81426,0x1b4766ed,457664237
81427,0x1b4766ed,457664237
81428,0x1b4766ed,457664237
81429,0x1b4766ed,457664237
81430,0x1b4766ed,457664237
81431,0x1b4766ed,457664237
81432,0x1b4766ed,457664237
81433,0x1b4766ed,457664237
81434,0x1b4766ed,457664237
81435,0x1b4766ed,457664237
81436,0x1b4766ed,457664237
81437,0x1b4766ed,457664237
81438,0x1b4766ed,457664237
81439,0x1b4766ed,457664237
81440,0x1b4766ed,457664237
81441,0x1b4766ed,457664237
81442,0x1b4766ed,457664237
81443,0x1b4766ed,457664237
81444,0x1b4766ed,457664237
81445,0x1b4766ed,457664237
81446,0x1b4766ed,457664237
81447,0x1b4766ed,457664237
81448,0x1b4766ed,457664237
81449,0x1b4766ed,457664237
81450,0x1b4766ed,457664237
81451,0x1b4766ed,457664237
81452,0x1b4766ed,457664237
81453,0x1b4766ed,457664237
81454,0x1b4766ed,457664237
81455,0x1b4766ed,457664237
81456,0x1b4766ed,457664237
81457,0x1b4766ed,457664237
81458,0x1b4766ed,457664237
81459,0x1b4766ed,457664237
81460,0x1b4766ed,457664237
81461,0x1b4766ed,457664237
81462,0x1b4766ed,457664237
81463,0x1b4766ed,457664237
81464,0x1b4766ed,457664237
81465,0x1b4766ed,457664237
81466,0x1b4766ed,457664237
81467,0x1b4766ed,457664237
81468,0x1b4766ed,457664237
81469,0x1b4766ed,457664237
81470,0x1b4766ed,457664237
81471,0x1b4766ed,457664237
81472,0x1b4766ed,457664237
81473,0x1b4766ed,457664237
81474,0x1b4766ed,457664237
81475,0x1b4766ed,457664237
81476,0x1b4766ed,457664237
81477,0x1b4766ed,457664237
81478,0x1b4766ed,457664237
81479,0x1b4766ed,457664237
81480,0x1b4766ed,457664237
81481,0x1b4766ed,457664237
81482,0x1b4766ed,457664237
81483,0x1b4766ed,457664237
81484,0x1b4766ed,457664237
81485,0x1b4766ed,457664237
81486,0x1b4766ed,457664237
81487,0x1b4766ed,457664237
81488,0x1b4766ed,457664237
81489,0x1b4766ed,457664237
81490,0x1b4766ed,457664237
81491,0x1b4766ed,457664237
81492,0x1b4766ed,457664237
81493,0x1b4766ed,457664237
81494,0x1b4766ed,457664237
81495,0x1b4766ed,457664237
81496,0x1b4766ed,457664237
81497,0x1b4766ed,457664237
81498,0x1b4766ed,457664237
81499,0x1b4766ed,457664237
81500,0x1b4766ed,457664237
81501,0x1b4766ed,457664237
81502,0x1b4766ed,457664237
81503,0x1b4766ed,457664237
81504,0x1b4766ed,457664237
81505,0x1b4766ed,457664237
81506,0x1b4766ed,457664237
81507,0x1b4766ed,457664237
81508,0x1b4766ed,457664237
81509,0x1b4766ed,457664237
81510,0x1b4766ed,457664237
81511,0x1b4766ed,457664237
